Academic Vocabulary List - Core Academic Words
Source file: acadCore.xlsx
Each entry contains rank, word, part of speech, academic frequency, ratio, dispersion, and range.

Rank 1: study (n). Academic frequency: 137208; ratio: 2.5235099227903999; dispersion: 0.92650893496804898; range: 8.
Rank 246: successful (j). Academic frequency: 16409; ratio: 1.5020016716643201; dispersion: 0.95839645226942305; range: 9.
Rank 247: assess (v). Academic frequency: 16198; ratio: 2.6819905756554898; dispersion: 0.91530593593927401; range: 8.
Rank 248: view (v). Academic frequency: 16190; ratio: 1.93404489570532; dispersion: 0.94171442686014295; range: 8.
Rank 249: client (n). Academic frequency: 16181; ratio: 1.5241213095624999; dispersion: 0.88705379601554601; range: 9.
Rank 250: instrument (n). Academic frequency: 16121; ratio: 2.23030874556015; dispersion: 0.91789576416973695; range: 8.
Rank 251: relatively (r). Academic frequency: 16084; ratio: 1.99044197072033; dispersion: 0.92360175263293098; range: 9.
Rank 252: meaning (n). Academic frequency: 16027; ratio: 2.1703973777049299; dispersion: 0.91637737164026201; range: 8.
Rank 253: limit (v). Academic frequency: 15973; ratio: 1.787728670835; dispersion: 0.94645114858243895; range: 9.
Rank 254: increase (n). Academic frequency: 15833; ratio: 1.64810656536782; dispersion: 0.93038847313028605; range: 9.
Rank 255: directly (r). Academic frequency: 15805; ratio: 1.5112674020682899; dispersion: 0.94497025909605203; range: 9.
Rank 256: previous (j). Academic frequency: 15796; ratio: 1.6414737050039201; dispersion: 0.93803913022633201; range: 9.
Rank 257: demand (n). Academic frequency: 15792; ratio: 1.6928544805843599; dispersion: 0.94298314060418098; range: 9.
Rank 258: vision (n). Academic frequency: 15772; ratio: 1.5731964059441299; dispersion: 0.919367376219689; range: 9.
Rank 259: female (j). Academic frequency: 15711; ratio: 1.8117989365343701; dispersion: 0.89826983149431505; range: 8.
Rank 260: attempt (n). Academic frequency: 15566; ratio: 1.5861750289901599; dispersion: 0.94628530333961702; range: 8.
Rank 261: influence (v). Academic frequency: 15499; ratio: 2.3448315431481399; dispersion: 0.93586666055069101; range: 8.
Rank 262: independent (j). Academic frequency: 15475; ratio: 1.62008813744194; dispersion: 0.94748914385985405; range: 9.
Rank 263: solution (n). Academic frequency: 15396; ratio: 1.5478613342738501; dispersion: 0.93173189286873803; range: 9.
Rank 264: direct (j). Academic frequency: 15254; ratio: 1.91342420885997; dispersion: 0.95342115556922802; range: 9.
Rank 265: conclusion (n). Academic frequency: 15194; ratio: 2.1448555314439699; dispersion: 0.95536255962085903; range: 8.
Rank 266: presence (n). Academic frequency: 15105; ratio: 1.6015594261032999; dispersion: 0.94759053093292001; range: 8.
Rank 267: scientific (j). Academic frequency: 15091; ratio: 2.09750636298685; dispersion: 0.88903385445273897; range: 8.
Rank 268: ethnic (j). Academic frequency: 15041; ratio: 2.2173879403283601; dispersion: 0.88707410284158705; range: 8.
Rank 269: complex (j). Academic frequency: 15016; ratio: 2.0526979752744499; dispersion: 0.93484223007163803; range: 9.
Rank 270: active (j). Academic frequency: 14938; ratio: 1.8264162402297299; dispersion: 0.94234148611983004; range: 9.
Rank 271: male (n). Academic frequency: 14900; ratio: 1.7958720338173799; dispersion: 0.88317342826559098; range: 7.
Rank 272: claim (n). Academic frequency: 14844; ratio: 1.67421198702339; dispersion: 0.92688574421857195; range: 9.
Rank 273: participation (n). Academic frequency: 14841; ratio: 2.8058463680408798; dispersion: 0.913315323301089; range: 8.
Rank 274: focus (n). Academic frequency: 14735; ratio: 1.7518049828914599; dispersion: 0.94712017736413101; range: 9.
Rank 275: contrast (n). Academic frequency: 14666; ratio: 2.2204385389275001; dispersion: 0.942569418831809; range: 9.
Rank 276: failure (n). Academic frequency: 14596; ratio: 1.6634399123400301; dispersion: 0.95393768636833498; range: 9.
Rank 277: internal (j). Academic frequency: 14532; ratio: 2.1473220077758901; dispersion: 0.94370400504436702; range: 9.
Rank 278: journal (n). Academic frequency: 14411; ratio: 1.98948893564374; dispersion: 0.94249216099219602; range: 8.
Rank 279: multiple (j). Academic frequency: 14263; ratio: 2.2766632725205902; dispersion: 0.92265176523318404; range: 8.
Rank 280: facility (n). Academic frequency: 14147; ratio: 1.5381288548435501; dispersion: 0.89349326534291595; range: 9.
Rank 281: user (n). Academic frequency: 14141; ratio: 2.1608539544318401; dispersion: 0.85982315763338002; range: 8.
Rank 282: emerge (v). Academic frequency: 14077; ratio: 1.5537231419203601; dispersion: 0.94443495780703202; range: 9.
Rank 283: protection (n). Academic frequency: 14048; ratio: 1.5485210791373001; dispersion: 0.91483052788800701; range: 9.
Rank 284: extent (n). Academic frequency: 14021; ratio: 2.1246225419806599; dispersion: 0.94230966106178404; range: 8.
Rank 285: male (j). Academic frequency: 14008; ratio: 1.8296190475078; dispersion: 0.90283171392831096; range: 8.
Rank 286: mental (j). Academic frequency: 13983; ratio: 1.84960400886266; dispersion: 0.89519199615323697; range: 8.
Rank 287: explore (v). Academic frequency: 13872; ratio: 1.8688792642385701; dispersion: 0.93513656340554296; range: 8.
Rank 288: consequence (n). Academic frequency: 13866; ratio: 1.9300008515935401; dispersion: 0.93947777114163; range: 8.
Rank 289: generate (v). Academic frequency: 13865; ratio: 2.0371571766808398; dispersion: 0.91282148825741705; range: 9.
Rank 290: content (n). Academic frequency: 13707; ratio: 1.9873412608779899; dispersion: 0.93985899173577003; range: 8.
Rank 291: device (n). Academic frequency: 13669; ratio: 1.7479810975818999; dispersion: 0.86563916559683496; range: 9.
Rank 292: requirement (n). Academic frequency: 13576; ratio: 2.1761304943033801; dispersion: 0.92683579813433903; range: 8.
Rank 293: broad (j). Academic frequency: 13566; ratio: 1.61468964816097; dispersion: 0.94490929685382496; range: 9.
Rank 294: observation (n). Academic frequency: 13512; ratio: 2.50190201256809; dispersion: 0.90383764708273895; range: 8.
Rank 295: visual (j). Academic frequency: 13475; ratio: 2.3907534541487201; dispersion: 0.87117899972375801; range: 7.
Rank 296: difficulty (n). Academic frequency: 13377; ratio: 1.95357027404363; dispersion: 0.94505574729475605; range: 8.
Rank 297: regional (j). Academic frequency: 13153; ratio: 1.848540981393; dispersion: 0.90919887522112797; range: 9.
Rank 298: perceive (v). Academic frequency: 13146; ratio: 2.50731997544746; dispersion: 0.91684739161526996; range: 8.
Rank 299: ie (r). Academic frequency: 13129; ratio: 3.0754857116847298; dispersion: 0.92248312714470004; range: 8.
Rank 300: urban (j). Academic frequency: 13119; ratio: 1.77803624901121; dispersion: 0.91140187343421297; range: 8.
Rank 301: female (n). Academic frequency: 13060; ratio: 2.0206234882235998; dispersion: 0.87624427420080497; range: 7.
Rank 302: capacity (n). Academic frequency: 13001; ratio: 2.0117617677095398; dispersion: 0.93578282245793598; range: 9.
Rank 303: increased (j). Academic frequency: 12996; ratio: 2.2338937262330898; dispersion: 0.93123493546596803; range: 8.
Rank 304: ensure (v). Academic frequency: 12973; ratio: 1.92100953832757; dispersion: 0.94693186442306898; range: 9.
Rank 305: select (v). Academic frequency: 12852; ratio: 1.9480723907291699; dispersion: 0.92081484617730003; range: 9.
Rank 306: moreover (r). Academic frequency: 12762; ratio: 2.60248542885954; dispersion: 0.94579650264540804; range: 9.
Rank 307: emphasize (v). Academic frequency: 12685; ratio: 2.1817208583482701; dispersion: 0.94626220723931698; range: 8.
Rank 308: institute (n). Academic frequency: 12650; ratio: 1.5684678072404801; dispersion: 0.91715790167241495; range: 9.
Rank 309: extend (v). Academic frequency: 12623; ratio: 1.56053369737651; dispersion: 0.94488249613253406; range: 8.
Rank 310: connection (n). Academic frequency: 12620; ratio: 1.5223774994952699; dispersion: 0.94654368775847697; range: 9.
Rank 311: sector (n). Academic frequency: 12563; ratio: 2.1068228501740398; dispersion: 0.90737054864261102; range: 9.
Rank 312: commitment (n). Academic frequency: 12532; ratio: 1.75724458819173; dispersion: 0.93768011035689203; range: 8.
Rank 313: interpretation (n). Academic frequency: 12483; ratio: 2.6269808282442701; dispersion: 0.93714343418215296; range: 8.
Rank 314: evaluate (v). Academic frequency: 12392; ratio: 2.5412409612291702; dispersion: 0.92876951608094405; range: 8.
Rank 315: conclude (v). Academic frequency: 12359; ratio: 1.82000744301102; dispersion: 0.95439005030214896; range: 9.
Rank 316: notion (n). Academic frequency: 12286; ratio: 1.8443953265425601; dispersion: 0.93365152049982902; range: 8.
Rank 317: increasingly (r). Academic frequency: 12280; ratio: 1.6966347639804; dispersion: 0.94523143964565903; range: 9.
Rank 318: domestic (j). Academic frequency: 12267; ratio: 1.63734050479785; dispersion: 0.90017225244843901; range: 8.
Rank 319: consist (v). Academic frequency: 12201; ratio: 2.40529703505926; dispersion: 0.93376914292975499; range: 8.
Rank 320: reference (n). Academic frequency: 12151; ratio: 1.9920317661254801; dispersion: 0.94164565019111401; range: 8.
Rank 321: initial (j). Academic frequency: 12096; ratio: 2.0453553749382198; dispersion: 0.94555941294958401; range: 9.
Rank 322: adopt (v). Academic frequency: 12066; ratio: 1.7177659553501201; dispersion: 0.94001649563187895; range: 8.
Rank 323: comparison (n). Academic frequency: 12058; ratio: 2.3003082934755601; dispersion: 0.93034259885926496; range: 8.
Rank 324: depend (v). Academic frequency: 12016; ratio: 1.5454011604254401; dispersion: 0.93965392923561797; range: 9.
Rank 325: attempt (v). Academic frequency: 12012; ratio: 1.72515834618019; dispersion: 0.949030732040546; range: 8.
Rank 326: standard (j). Academic frequency: 11991; ratio: 1.8817528916649; dispersion: 0.91795334629289904; range: 9.
Rank 327: predict (v). Academic frequency: 11984; ratio: 1.6961617279527901; dispersion: 0.911373761276561; range: 8.
Rank 328: employ (v). Academic frequency: 11963; ratio: 2.0520995337800199; dispersion: 0.95062411823194903; range: 9.
Rank 329: definition (n). Academic frequency: 11955; ratio: 2.23285124130595; dispersion: 0.94963163038092802; range: 8.
Rank 330: essential (j). Academic frequency: 11870; ratio: 2.0221786521903899; dispersion: 0.96234299276122803; range: 8.
Rank 331: contact (n). Academic frequency: 11847; ratio: 1.5126649457722801; dispersion: 0.93196723334952902; range: 9.
Rank 332: frequently (r). Academic frequency: 11800; ratio: 1.88972096023112; dispersion: 0.94852207972630098; range: 8.
Rank 333: colleague (n). Academic frequency: 11797; ratio: 1.5562763828056601; dispersion: 0.90089920354264696; range: 9.
Rank 334: actual (j). Academic frequency: 11772; ratio: 1.7951704688958401; dispersion: 0.94404338828675805; range: 8.
Rank 335: account (v). Academic frequency: 11722; ratio: 1.9772448028680401; dispersion: 0.93622070331194196; range: 9.
Rank 336: dimension (n). Academic frequency: 11722; ratio: 2.5651912294692698; dispersion: 0.92685093413948605; range: 8.
Rank 337: theme (n). Academic frequency: 11702; ratio: 1.6810499727228001; dispersion: 0.93132966708449005; range: 8.
Rank 338: largely (r). Academic frequency: 11684; ratio: 1.7092481820379699; dispersion: 0.93792877700778998; range: 9.
Rank 339: link (v). Academic frequency: 11650; ratio: 1.76855590320419; dispersion: 0.94714867762745802; range: 9.
Rank 340: desire (n). Academic frequency: 11634; ratio: 1.57768812366726; dispersion: 0.92250758460217297; range: 8.
Rank 341: overall (j). Academic frequency: 11602; ratio: 1.9592685891980299; dispersion: 0.93592846278500796; range: 9.
Rank 342: useful (j). Academic frequency: 11584; ratio: 2.06951048965121; dispersion: 0.93932584174270195; range: 8.
Rank 343: consistent (j). Academic frequency: 11557; ratio: 2.30179527315725; dispersion: 0.93046082653121398; range: 8.
Rank 344: distribution (n). Academic frequency: 11539; ratio: 2.4695821830890599; dispersion: 0.90493406812205501; range: 9.
Rank 345: minority (n). Academic frequency: 11538; ratio: 1.526479484212; dispersion: 0.91701321511178602; range: 8.
Rank 346: analyze (v). Academic frequency: 11523; ratio: 2.3866561383783602; dispersion: 0.93265881566624398; range: 8.
Rank 347: range (v). Academic frequency: 11521; ratio: 1.8824920904182301; dispersion: 0.91680671756576404; range: 9.
Rank 348: psychological (j). Academic frequency: 11472; ratio: 2.3920816794197002; dispersion: 0.890131117308544; range: 8.
Rank 349: unique (j). Academic frequency: 11454; ratio: 1.72570883536154; dispersion: 0.94230096925390505; range: 8.
Rank 350: experiment (n). Academic frequency: 11408; ratio: 2.0287519529767901; dispersion: 0.85243356746231702; range: 8.
Rank 351: trend (n). Academic frequency: 11407; ratio: 1.6743921343631101; dispersion: 0.93954975694636; range: 9.
Rank 352: exchange (n). Academic frequency: 11401; ratio: 1.5034124739002099; dispersion: 0.92821364765618297; range: 9.
Rank 353: percentage (n). Academic frequency: 11300; ratio: 1.7639853040420901; dispersion: 0.92453511142362799; range: 9.
Rank 354: objective (n). Academic frequency: 11293; ratio: 2.43749264826489; dispersion: 0.93693089573320898; range: 8.
Rank 355: implication (n). Academic frequency: 11291; ratio: 2.4544598991208999; dispersion: 0.94426975345715702; range: 8.
Rank 356: contribution (n). Academic frequency: 11291; ratio: 1.76999776402558; dispersion: 0.94337807236534899; range: 9.
Rank 357: enable (v). Academic frequency: 11242; ratio: 2.2316946652231899; dispersion: 0.93045472394750495; range: 9.
Rank 358: organize (v). Academic frequency: 11191; ratio: 1.6192009076873799; dispersion: 0.94087811116532205; range: 9.
Rank 359: specifically (r). Academic frequency: 11133; ratio: 1.90319723731123; dispersion: 0.94132581584380404; range: 8.
Rank 360: currently (r). Academic frequency: 11126; ratio: 1.65422605790324; dispersion: 0.92304893952011402; range: 9.
Rank 361: emotional (j). Academic frequency: 11103; ratio: 1.57051671764964; dispersion: 0.90724348024565304; range: 7.
Rank 362: locate (v). Academic frequency: 11035; ratio: 1.6491691549940599; dispersion: 0.91937819428010603; range: 9.
Rank 363: primarily (r). Academic frequency: 10992; ratio: 2.1290776070156601; dispersion: 0.94686069228244396; range: 8.
Rank 364: scholar (n). Academic frequency: 10992; ratio: 2.0550731475054298; dispersion: 0.91295795245869105; range: 7.
Rank 365: enhance (v). Academic frequency: 10980; ratio: 2.30072682143842; dispersion: 0.93822436747854498; range: 8.
Rank 366: improvement (n). Academic frequency: 10976; ratio: 1.8661538993704101; dispersion: 0.92594069406383706; range: 9.
Rank 367: flow (n). Academic frequency: 10970; ratio: 1.9225440452576501; dispersion: 0.86957005156058798; range: 9.
Rank 368: estimate (v). Academic frequency: 10905; ratio: 1.71463074750717; dispersion: 0.91226081347836996; range: 8.
Rank 369: phase (n). Academic frequency: 10870; ratio: 2.2183396162810798; dispersion: 0.91285340201653098; range: 8.
Rank 370: rural (j). Academic frequency: 10841; ratio: 1.8995558976482501; dispersion: 0.91367830774288294; range: 8.
Rank 371: typically (r). Academic frequency: 10841; ratio: 1.91083887338179; dispersion: 0.93028801476656997; range: 9.
Rank 372: above (r). Academic frequency: 10820; ratio: 1.5016127657287499; dispersion: 0.93136254718742195; range: 9.
Rank 373: long-term (j). Academic frequency: 10807; ratio: 1.6555110261899399; dispersion: 0.94394895170974202; range: 9.
Rank 374: core (n). Academic frequency: 10713; ratio: 1.8315766652916501; dispersion: 0.92147743326105203; range: 9.
Rank 375: volume (n). Academic frequency: 10676; ratio: 1.6809642022232301; dispersion: 0.93084247331344205; range: 9.
Rank 376: approximately (r). Academic frequency: 10656; ratio: 2.2987266581827899; dispersion: 0.91582933522395704; range: 8.
Rank 377: limited (j). Academic frequency: 10632; ratio: 1.85144683620846; dispersion: 0.946054040465938; range: 9.
Rank 378: propose (v). Academic frequency: 10626; ratio: 1.59218980055603; dispersion: 0.94375088163434595; range: 8.
